TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,CFID,CFPARAMS,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLAYOFF_RANKING,SEASON,UNIQUE_ID
1610612752,New York Knicks,82,43,39,0.524,53.6,38.7,86.7,0.447,5.2,15.4,0.335,18.9,24.5,0.772,13.2,32.9,46.1,24.2,16.9,8.6,3.8,4.2,26.3,0.3,101.5,2.7,10,New York Knicks,35.5,82.9,0.428,4.5,14.1,0.317,23.4,31.1,0.75,11.5,31.6,43.2,21.4,16.7,8.8,4.2,3.8,23.0,26.3,98.8,2,1997-98,1610612752199798
1610612760,Seattle SuperSonics,82,61,21,0.744,52.8,40.8,86.3,0.473,8.3,21.0,0.395,20.3,28.2,0.721,12.4,29.7,42.2,26.5,15.3,10.7,5.0,5.4,24.2,0.2,110.1,7.9,10,Seattle SuperSonics,38.7,86.7,0.446,5.6,17.2,0.324,19.4,26.7,0.724,15.2,30.9,46.1,24.4,18.6,8.5,5.4,5.0,24.4,24.2,102.3,2,1997-98,1610612760199798
1610612737,Atlanta Hawks,82,50,32,0.61,53.9,39.1,86.1,0.455,4.6,13.8,0.332,23.7,31.4,0.756,15.0,32.8,47.7,21.3,16.5,8.8,6.7,5.0,22.7,0.2,106.5,3.9,10,Atlanta Hawks,40.1,90.8,0.442,4.7,13.8,0.342,17.6,24.0,0.735,14.7,29.2,43.8,23.8,15.2,8.4,5.0,6.7,25.6,22.7,102.6,1,1997-98,1610612737199798
1610612750,Minnesota Timberwolves,82,45,37,0.549,51.1,40.5,87.8,0.461,3.9,11.2,0.347,21.5,28.9,0.743,13.6,31.2,44.8,26.5,14.6,8.2,5.5,5.3,24.1,0.3,106.4,0.7,10,Minnesota Timberwolves,39.5,88.0,0.448,5.5,15.5,0.358,21.1,28.5,0.742,14.3,30.9,45.3,24.5,15.8,7.8,5.3,5.5,23.9,24.1,105.6,1,1997-98,1610612750199798
1610612748,Miami Heat,82,55,27,0.671,53.6,38.7,85.9,0.45,7.4,21.0,0.355,20.9,28.3,0.739,14.0,32.8,46.8,23.9,16.6,9.0,5.8,5.0,26.9,0.2,105.7,5.5,10,Miami Heat,37.0,86.3,0.428,4.1,12.5,0.331,22.2,29.8,0.744,14.4,30.3,44.7,22.1,16.5,8.6,5.0,5.8,25.1,26.9,100.2,1,1997-98,1610612748199798
1610612745,Houston Rockets,82,41,41,0.5,51.8,38.5,85.1,0.452,7.5,21.8,0.343,21.4,27.7,0.771,12.9,30.7,43.6,23.5,17.0,9.0,3.8,4.8,21.6,0.2,105.9,-0.8,10,Houston Rockets,41.5,88.5,0.469,5.3,14.6,0.365,18.4,24.7,0.744,13.6,30.4,44.0,25.0,15.3,9.6,4.8,3.8,22.8,21.6,106.7,1,1997-98,1610612745199798
1610612756,Phoenix Suns,82,56,26,0.683,51.9,40.8,87.3,0.468,5.6,15.8,0.356,19.0,25.3,0.749,12.9,31.9,44.8,27.6,16.1,9.8,5.6,4.2,23.0,0.2,106.3,5.5,10,Phoenix Suns,38.0,86.1,0.442,5.1,14.2,0.361,19.5,26.7,0.732,13.7,30.5,44.2,23.5,17.7,9.4,4.2,5.6,23.0,23.0,100.7,1,1997-98,1610612756199798
1610612739,Cleveland Cavaliers,82,47,35,0.573,52.5,37.3,82.1,0.454,3.9,10.6,0.372,21.9,28.9,0.756,12.6,30.8,43.5,25.0,18.8,10.8,5.5,6.0,25.6,0.1,100.3,3.0,10,Cleveland Cavaliers,35.6,82.2,0.433,4.5,13.1,0.344,21.7,28.8,0.755,12.5,29.5,42.0,23.7,19.1,9.4,6.0,5.5,25.2,25.6,97.4,1,1997-98,1610612739199798
1610612757,Portland Trail Blazers,82,46,36,0.561,52.5,38.2,84.7,0.451,4.3,13.9,0.309,21.7,29.5,0.737,14.4,33.4,47.8,23.4,18.3,7.7,6.1,5.9,24.6,0.2,102.4,1.5,10,Portland Trail Blazers,37.2,86.3,0.431,4.9,14.4,0.343,21.5,29.8,0.722,13.4,29.1,42.5,23.3,15.4,10.2,5.9,6.1,24.1,24.6,100.8,1,1997-98,1610612757199798
1610612758,Sacramento Kings,82,27,55,0.329,51.2,38.4,86.7,0.442,3.7,10.5,0.351,18.7,27.2,0.687,14.2,29.9,44.1,23.8,16.5,7.7,5.4,6.0,23.5,0.1,99.1,-5.9,10,Sacramento Kings,40.1,87.9,0.457,4.5,12.6,0.356,20.2,27.3,0.742,15.0,32.9,47.9,23.7,16.3,9.0,6.0,5.4,23.0,23.5,105.0,0,1997-98,1610612758199798
1610612761,Toronto Raptors,82,16,66,0.195,50.9,37.9,87.0,0.435,4.8,13.9,0.343,18.9,26.3,0.718,15.2,27.4,42.6,22.3,17.5,9.8,8.5,6.6,23.6,0.1,99.4,-9.7,10,Toronto Raptors,41.8,87.2,0.479,5.1,13.2,0.383,20.5,29.2,0.7,16.2,32.0,48.2,28.3,17.5,9.4,6.6,8.5,22.3,23.6,109.1,0,1997-98,1610612761199798
1610612763,Vancouver Grizzlies,82,19,63,0.232,51.3,38.9,84.9,0.458,4.2,11.6,0.362,20.5,27.7,0.739,14.0,29.9,43.9,25.3,18.2,7.9,4.5,7.0,23.4,0.2,102.4,-7.7,10,Vancouver Grizzlies,41.8,87.9,0.475,5.5,14.4,0.385,21.1,28.9,0.732,14.8,30.5,45.3,27.2,15.0,10.8,7.0,4.5,23.7,23.4,110.2,0,1997-98,1610612763199798
1610612755,Philadelphia 76ers,82,31,51,0.378,52.2,37.5,84.7,0.443,3.2,10.7,0.3,22.9,31.1,0.737,14.9,30.3,45.2,22.8,17.9,9.6,6.5,6.7,24.8,0.1,101.1,-2.6,10,Philadelphia 76ers,38.4,85.1,0.451,5.1,14.7,0.344,21.8,29.9,0.73,14.7,30.9,45.7,25.5,17.4,10.1,6.7,6.5,25.2,24.8,103.7,0,1997-98,1610612755199798
1610612753,Orlando Magic,82,41,41,0.5,54.2,37.9,88.2,0.429,4.0,12.4,0.323,21.2,29.2,0.726,16.1,30.1,46.2,23.2,17.2,8.9,6.0,5.3,22.1,0.2,101.0,-1.2,10,Orlando Magic,40.1,88.3,0.454,4.3,13.2,0.324,17.8,24.2,0.736,14.9,31.0,45.9,23.8,17.2,10.2,5.3,6.0,25.5,22.1,102.2,0,1997-98,1610612753199798
1610612746,Los Angeles Clippers,82,17,65,0.207,51.2,37.9,86.6,0.438,6.8,19.0,0.358,19.2,26.5,0.723,13.5,29.5,42.9,19.8,17.1,8.1,5.9,5.3,23.7,0.1,101.8,-7.8,10,Los Angeles Clippers,41.9,88.5,0.474,4.3,12.0,0.362,21.5,29.4,0.734,15.1,32.0,47.1,23.6,15.0,9.4,5.3,5.9,22.6,23.7,109.7,0,1997-98,1610612746199798
